"ticket_id,","ticket_date,","ticket_desc"
62860,"2015-06-01 07:30:08","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
6800,"2015-04-16 05:34:55","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
21705,"2015-07-01 15:53:43","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
78448,"2015-06-01 18:36:20","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
64678,"2015-06-18 10:32:57","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
75322,"2015-05-29 05:13:07","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
70300,"2015-05-31 20:47:14","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
65420,"2015-05-31 10:31:35","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
66128,"2015-07-07 02:15:33","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
82213,"2015-05-13 04:59:31","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
91959,"2015-04-12 00:20:43","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
81238,"2015-04-25 08:35:27","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
72689,"2015-04-06 16:34:45","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
17108,"2015-06-21 22:10:17","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
87993,"2015-04-12 23:44:18","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
97638,"2015-06-09 05:05:11","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
32139,"2015-06-28 02:48:18","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
32411,"2015-06-02 23:03:55","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
63213,"2015-04-23 07:38:13","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
56171,"2015-06-18 06:28:02","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
51596,"2015-05-03 22:35:22","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
33616,"2015-06-14 02:29:57","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
73180,"2015-06-10 16:13:25","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
12782,"2015-04-04 15:29:06","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
3577,"2015-04-02 20:14:39","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
78977,"2015-05-30 13:23:01","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
54626,"2015-04-22 23:03:38","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
37516,"2015-04-23 09:31:36","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
60166,"2015-06-03 13:57:07","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
70006,"2015-05-30 13:07:09","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
22042,"2015-06-30 02:41:57","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
54501,"2015-06-25 06:42:09","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
28765,"2015-06-23 20:59:42","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
8799,"2015-05-20 04:59:46","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
96644,"2015-04-04 21:13:18","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
51647,"2015-04-22 22:33:40","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
93494,"2015-06-19 06:30:23","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
34098,"2015-06-02 17:12:02","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
89115,"2015-04-21 20:40:37","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
11416,"2015-05-28 13:04:02","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
94616,"2015-05-04 21:34:33","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
13251,"2015-06-01 21:28:58","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
22425,"2015-06-21 10:58:47","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
4915,"2015-05-23 15:11:24","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
30575,"2015-04-17 05:26:51","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
51140,"2015-05-18 03:11:37","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
22407,"2015-04-04 18:35:29","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
37344,"2015-04-30 04:48:17","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
22216,"2015-04-18 04:33:20","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
26616,"2015-04-25 16:46:57","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
99801,"2015-05-27 23:03:41","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
70671,"2015-06-18 21:36:58","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
39785,"2015-05-11 16:21:13","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
42248,"2015-05-08 09:12:39","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
32032,"2015-04-08 06:29:14","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
60934,"2015-04-23 03:54:58","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
53613,"2015-05-01 07:30:34","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
3962,"2015-04-29 13:53:04","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
38385,"2015-06-11 13:06:32","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
82091,"2015-06-02 09:44:54","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
88773,"2015-04-07 09:44:16","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
98434,"2015-07-10 02:01:53","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
73259,"2015-06-30 12:32:20","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
56755,"2015-07-02 17:53:45","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
56849,"2015-05-31 14:57:41","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
10534,"2015-07-08 15:57:34","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
4701,"2015-04-08 11:12:37","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
90845,"2015-04-07 05:39:51","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
7977,"2015-05-23 11:07:32","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
69993,"2015-04-24 16:07:52","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
41344,"2015-04-28 23:33:14","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
98648,"2015-05-14 03:24:55","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
96468,"2015-06-16 18:53:37","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
14791,"2015-05-11 19:21:07","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
93674,"2015-05-02 11:23:54","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
34956,"2015-04-09 22:18:47","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
26447,"2015-04-13 23:51:27","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
45549,"2015-06-06 21:27:44","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
26340,"2015-04-13 21:05:17","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
3983,"2015-05-30 10:17:45","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
47188,"2015-07-05 15:50:34","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
23226,"2015-04-10 06:45:54","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
7250,"2015-04-13 09:36:02","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
9815,"2015-06-08 09:45:30","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
