ticket_id,ticket_date,ticket_desc
80300,"2015-04-20 23:37:08","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
61122,"2015-04-17 06:05:33","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
79285,"2015-06-13 12:31:06","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
58010,"2015-06-08 08:24:51","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
42373,"2015-04-21 13:58:17","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
3903,"2015-04-10 22:04:56","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
56083,"2015-05-18 18:30:24","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
51030,"2015-06-21 12:12:17","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
11719,"2015-04-08 20:31:41","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
64059,"2015-06-12 18:08:26","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
83366,"2015-05-17 12:00:25","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
78667,"2015-04-13 23:29:50","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
59068,"2015-06-23 20:53:50","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
98363,"2015-07-09 02:51:47","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
93223,"2015-04-20 12:36:01","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
41359,"2015-05-24 01:40:55","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
45278,"2015-04-27 23:08:43","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
94975,"2015-06-06 11:28:43","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
39714,"2015-06-24 11:20:59","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
2937,"2015-06-12 16:12:30","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
78575,"2015-06-17 08:41:09","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
90149,"2015-07-05 06:52:04","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
50072,"2015-04-06 13:47:59","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
62033,"2015-06-02 02:15:27","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
17349,"2015-06-14 02:26:32","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
69394,"2015-04-09 10:18:27","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
62676,"2015-05-10 03:52:39","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
40889,"2015-04-03 02:46:55","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
87806,"2015-06-01 08:02:28","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
30882,"2015-06-11 13:21:07","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
2455,"2015-06-05 19:35:04","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
41093,"2015-06-19 20:24:30","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
86526,"2015-06-12 10:10:19","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
76926,"2015-05-08 18:26:42","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
1769,"2015-05-19 10:04:49","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
40870,"2015-06-18 08:59:09","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
68916,"2015-06-22 11:06:02","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
73556,"2015-06-30 09:49:45","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
85088,"2015-05-14 08:54:27","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
38157,"2015-05-24 02:36:07","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
98487,"2015-06-09 12:05:36","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
45565,"2015-06-12 06:05:59","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
10178,"2015-05-30 04:31:45","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
77455,"2015-04-18 22:02:54","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
62958,"2015-05-21 10:09:14","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
38343,"2015-04-14 19:29:40","Customer site returning a 500 instead of site content. Site has been down for 15 minutes."
